registrationNumber,fuelType,monthOfFirstRegistration
RRZ6943,Petrol,2020-03-01 00:00:00 UTC
RGZ3233,Petrol,2020-03-01 00:00:00 UTC
OXZ4233,Petrol,2020-03-01 00:00:00 UTC
RRZ2615,Petrol,2020-03-01 00:00:00 UTC
UGZ3410,Hybrid,2020-03-01 00:00:00 UTC
AYZ2606,Hybrid,2020-03-01 00:00:00 UTC
RGZ2382,Hybrid,2020-03-01 00:00:00 UTC
RGZ1884,Hybrid,2020-03-01 00:00:00 UTC
ESZ1797,Hybrid,2020-03-01 00:00:00 UTC
OXZ4125,Pure electric,2020-03-01 00:00:00 UTC
RGZ4266,Hybrid,2020-03-01 00:00:00 UTC
UIG8638,Hybrid,2020-03-01 00:00:00 UTC
RGZ3909,Hybrid,2020-03-01 00:00:00 UTC
RGZ4425,Hybrid,2020-03-01 00:00:00 UTC
PNZ4355,Hybrid,2020-03-01 00:00:00 UTC
OUI585,Hybrid,2020-03-01 00:00:00 UTC
OXZ1794,Hybrid,2020-03-01 00:00:00 UTC
RRZ2589,Hybrid,2020-03-01 00:00:00 UTC
UIG8565,Hybrid,2020-03-01 00:00:00 UTC
OXZ2383,Hybrid,2020-03-01 00:00:00 UTC
OXZ3211,Hybrid,2020-03-01 00:00:00 UTC
PGZ9326,Hybrid,2020-03-01 00:00:00 UTC
RRZ3602,Hybrid,2020-03-01 00:00:00 UTC
RGZ2398,Hybrid,2020-03-01 00:00:00 UTC
TGZ7271,Hybrid,2020-03-01 00:00:00 UTC
OXZ3174,Hybrid,2020-03-01 00:00:00 UTC
MGZ9787,Pure electric,2020-03-01 00:00:00 UTC
RRZ2362,Hybrid,2020-03-01 00:00:00 UTC
OXZ9721,Hybrid,2020-03-01 00:00:00 UTC
YUI1185,Hybrid,2020-03-01 00:00:00 UTC
RRZ3117,Hybrid,2020-03-01 00:00:00 UTC
XHZ5991,Hybrid,2020-03-01 00:00:00 UTC
RRZ3840,Gas,2020-03-01 00:00:00 UTC
RGZ4423,Hybrid,2020-03-01 00:00:00 UTC
RGZ2197,Hybrid,2020-03-01 00:00:00 UTC
OXZ3770,Hybrid,2020-03-01 00:00:00 UTC
AYZ3015,Hybrid,2020-03-01 00:00:00 UTC
SGZ3304,Hybrid,2020-03-01 00:00:00 UTC
XHZ5785,Hybrid,2020-03-01 00:00:00 UTC
OXZ3064,Hybrid,2020-03-01 00:00:00 UTC
SIL2777,Hybrid,2020-03-01 00:00:00 UTC
JRZ8777,Hybrid,2020-03-01 00:00:00 UTC
